player,pid,pos,pick,eff,draftyr,typ,by,Y,age,horizon,nqf,pred_fwd,real_fwd,pred_ev,pred_val,real_val,resid_fwd,resid_val,active
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2020,23.0,6,4,57.146899918564564,54.56666666666666,148.0,160.56000000000003,6.0,2.5802332518979014,154.56000000000003,1
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2021,24.0,5,3,54.547418015390775,51.6,119.0,101.58000000000001,3.0,2.947418015390774,98.58000000000001,1
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2022,25.0,4,2,62.42698132331897,58.6,346.0,334.6400000000001,24.0,3.826981323318968,310.6400000000001,1
Ryan Gardner,140498197125888,KEY_DEF,58,58,2015,ND,1997,2023,26.0,3,1,58.580099810909275,54.1,173.0,173.48000000000002,10.0,4.480099810909273,163.48000000000002,1
Declan Mountford,140498197126912,MID,59,59,2015,ND,1997,2015,18.0,11,1,50.25325842190164,58.5,8.0,404.8400000000001,0.0,-8.246741578098359,404.8400000000001,0
Declan Mountford,140498197126912,MID,59,59,2015,ND,1997,2016,19.0,10,1,64.41172674813134,58.5,8.0,509.3200000000001,1.0,5.911726748131343,508.3200000000001,0
Declan Mountford,140498197126912,MID,59,59,2015,ND,1997,2017,20.0,9,1,73.8839503082852,58.5,8.0,642.22,1.0,15.383950308285193,641.22,1
Declan Mountford,140498197126912,MID,59,59,2015,ND,1997,2018,21.0,8,0,64.7339034575733,36.5,8.0,406.62000000000006,1.0,28.233903457573305,405.62000000000006,0
Declan Mountford,140498197126912,MID,59,59,2015,ND,1997,2019,22.0,7,0,60.46861776642658,36.5,8.0,258.18,1.0,23.968617766426583,257.18,0
Declan Mountford,140498197126912,MID,59,59,2015,ND,1997,2020,23.0,6,0,58.98982126438195,36.5,8.0,168.94000000000003,1.0,22.489821264381952,167.94000000000003,0
Declan Mountford,140498197126912,MID,59,59,2015,ND,1997,2021,24.0,5,0,56.14431514741706,36.5,8.0,67.22000000000001,1.0,19.64431514741706,66.22000000000001,0
Declan Mountford,140498197126912,MID,59,59,2015,ND,1997,2022,25.0,4,0,47.324386363423166,36.5,8.0,4.000000000000001,0.0,10.824386363423166,4.000000000000001,0
Shane Yarran,140498197127424,GEN_FWD,60,60,2015,ND,1989,2015,26.0,11,1,42.99597854053585,55.8,0.0,3.0200000000000005,4.0,-12.804021459464145,-0.9799999999999995,0
Shane Yarran,140498197127424,GEN_FWD,60,60,2015,ND,1989,2016,27.0,10,1,43.200172525649585,55.8,0.0,9.000000000000002,4.0,-12.599827474350413,5.000000000000002,1
Matthew Allen,140498197127872,KEY_FWD,61,61,2015,ND,1997,2015,18.0,11,0,35.032550743853655,0.0,5.0,242.24000000000004,0.0,35.032550743853655,242.24000000000004,0
Rupert Wills,140498197128256,MID,62,62,2015,ND,1993,2015,22.0,11,2,50.10814918397774,71.05,1.0,44.120000000000005,23.0,-20.94185081602226,21.120000000000005,0
Rupert Wills,140498197128256,MID,62,62,2015,ND,1993,2016,23.0,10,2,52.77208100384338,71.05,1.0,621.9400000000002,404.0,-18.277918996156615,217.94000000000017,0
