key,Y,type,pos,age,games,tenure,peak_fwd,dv_fwd,pred_raw,b4,b2,b5_raw,b5_tap,asc,in_trainpool,pickless
taylor-adams,2012,ND,SF,19.0,15,1,105.93,2543.5,104.83,98.39,86.57,104.83,104.83,1.0,1,0
taylor-adams,2013,ND,SF,20.0,31,2,105.93,2852.6,102.32,97.66,84.3,102.32,102.32,1.0,1,0
taylor-adams,2014,ND,SF,21.0,43,3,105.93,3243.3,100.29,92.88,79.09,100.29,97.75,0.88,1,0
taylor-adams,2015,ND,SF,22.0,61,4,105.93,2850.1,111.58,109.12,96.55,111.58,109.34,0.851,1,0
taylor-adams,2016,ND,SF,23.0,75,5,105.93,2687.0,116.57,110.04,100.5,116.57,113.7,0.821,1,0
taylor-adams,2017,ND,SF,24.0,97,6,105.93,2143.0,123.56,116.25,110.72,123.56,121.41,0.832,1,0
taylor-adams,2018,ND,SF,25.0,120,7,102.1,1787.8,123.04,113.62,108.19,123.04,120.19,0.808,1,0
taylor-adams,2019,ND,SF,26.0,132,8,100.3,1504.1,115.16,107.79,101.18,115.16,111.8,0.76,1,0
devon-smith,2011,ND,SF,18.0,0,0,92.7,1750.5,92.0,84.52,64.81,92.0,92.0,1.0,1,0
devon-smith,2012,ND,SF,19.0,20,1,92.7,1978.5,101.78,94.75,78.62,101.78,101.78,1.0,1,0
devon-smith,2013,ND,SF,20.0,38,2,92.7,2162.0,100.98,94.42,82.15,100.98,100.98,1.0,1,0
devon-smith,2014,ND,SF,21.0,59,3,92.7,1806.6,110.81,101.57,90.58,110.81,108.92,0.907,1,0
devon-smith,2015,ND,SF,22.0,79,4,90.7,1463.6,109.77,104.49,91.75,109.77,106.7,0.83,1,0
devon-smith,2016,ND,SF,23.0,93,5,88.23,1280.7,106.34,100.03,90.71,106.34,102.3,0.741,1,0
devon-smith,2017,ND,SF,24.0,109,6,87.67,1119.6,101.79,96.03,86.51,101.79,96.34,0.643,1,0
devon-smith,2018,ND,SF,25.0,131,7,83.93,429.1,111.53,104.6,95.45,111.53,107.12,0.726,1,0
devon-smith,2019,ND,SF,26.0,138,8,72.7,429.9,98.31,93.96,83.1,98.31,92.14,0.594,1,0
brandon-ellis,2011,ND,MID,18.0,0,0,94.97,1442.4,114.56,100.71,68.41,114.56,114.56,1.0,1,0
brandon-ellis,2012,ND,MID,19.0,21,1,94.97,1644.2,114.3,105.16,76.82,114.3,114.3,1.0,1,0
brandon-ellis,2013,ND,MID,20.0,42,2,94.97,1716.1,117.31,112.59,93.16,117.31,117.31,1.0,1,0
brandon-ellis,2014,ND,MID,21.0,65,3,94.97,1430.9,122.4,118.45,107.35,122.4,120.91,0.901,1,0
brandon-ellis,2015,ND,MID,22.0,88,4,92.9,1063.4,124.28,119.69,108.34,124.28,121.5,0.826,1,0
brandon-ellis,2016,ND,MID,23.0,110,5,89.6,972.8,119.29,110.82,102.75,119.29,114.31,0.699,1,0
brandon-ellis,2017,ND,MID,24.0,135,6,89.6,818.1,113.18,106.25,99.22,113.18,107.76,0.612,1,0
brandon-ellis,2018,ND,MID,25.0,153,7,88.47,912.2,101.8,91.81,81.39,101.8,92.0,0.52,1,0
brandon-ellis,2019,ND,MID,26.0,176,8,88.47,837.0,101.05,93.14,83.12,101.05,91.36,0.46,1,0
thomas-sheridan,2011,ND,MID,18.0,0,0,68.43,11.1,116.67,100.34,67.36,116.67,116.67,1.0,1,0
thomas-sheridan,2012,ND,MID,19.0,1,1,68.43,12.7,109.2,94.95,62.13,109.2,109.2,1.0,1,0
thomas-sheridan,2013,ND,MID,20.0,11,2,68.43,14.5,103.92,92.74,62.55,103.92,103.92,1.0,1,0
thomas-sheridan,2014,ND,MID,21.0,19,3,68.43,16.5,102.73,86.24,58.24,102.73,97.39,0.88,1,0
thomas-sheridan,2015,ND,MID,22.0,38,4,68.43,15.2,104.05,97.96,74.75,104.05,97.02,0.76,1,0
thomas-sheridan,2016,ND,MID,23.0,59,5,62.0,12.0,99.2,93.46,74.46,99.2,91.04,0.67,1,0
thomas-sheridan,2017,ND,MID,24.0,68,6,59.45,13.7,83.49,80.15,60.6,83.49,73.88,0.58,1,0
thomas-sheridan,2018,ND,MID,25.0,81,7,70.5,0.0,93.02,86.13,68.52,93.02,81.26,0.52,1,0
thomas-sheridan,2019,ND,MID,26.0,82,8,17.0,0.0,82.81,76.0,60.4,82.81,70.71,0.46,1,0
clay-smith,2011,ND,MID,18.0,0,0,67.3,125.8,111.65,100.23,65.94,111.65,111.65,1.0,1,0
clay-smith,2012,ND,MID,19.0,16,1,67.3,143.4,109.15,99.25,71.02,109.15,109.15,1.0,1,0
clay-smith,2013,ND,MID,20.0,30,2,67.3,159.9,111.15,104.39,81.81,111.15,111.15,1.0,1,0
clay-smith,2014,ND,MID,21.0,31,3,67.1,182.2,107.89,100.4,73.34,107.89,103.75,0.88,1,0
clay-smith,2015,ND,MID,22.0,34,4,67.1,207.8,93.99,80.27,54.54,93.99,84.52,0.76,1,0
clay-smith,2016,ND,MID,23.0,47,5,67.1,2.6,109.34,98.55,77.12,109.34,98.71,0.67,1,0
clay-smith,2017,ND,MID,24.0,55,6,58.2,0.0,88.55,81.93,63.78,88.55,78.15,0.58,1,0
bradley-mckenzie,2011,ND,SD,18.0,0,0,53.73,4.2,102.13,89.22,65.15,102.13,102.13,1.0,1,0
bradley-mckenzie,2012,ND,SD,19.0,2,1,53.73,4.8,98.42,85.56,62.32,98.42,98.42,1.0,1,0
bradley-mckenzie,2013,ND,SD,20.0,12,2,53.73,5.4,94.55,87.1,58.71,94.55,94.55,1.0,1,0
bradley-mckenzie,2014,ND,SD,21.0,22,3,60.0,6.2,96.12,80.3,62.7,96.12,92.11,0.88,1,0
bradley-mckenzie,2015,ND,SD,22.0,23,4,69.9,6.5,87.59,73.32,56.1,87.59,80.04,0.76,1,0
bradley-mckenzie,2016,ND,SD,23.0,37,5,69.9,0.0,93.85,86.34,71.8,93.85,86.57,0.67,1,0
elliott-kavanagh,2011,ND,MID,18.0,0,0,47.7,0.0,110.31,97.02,64.3,110.31,110.31,1.0,1,0
elliott-kavanagh,2012,ND,MID,19.0,1,1,47.7,0.0,108.54,94.41,60.81,108.54,108.54,1.0,1,0
elliott-kavanagh,2013,ND,MID,20.0,4,2,47.7,0.0,107.3,93.44,59.78,107.3,107.3,1.0,1,0
elliott-kavanagh,2014,ND,MID,21.0,7,3,44.8,0.0,104.4,86.38,53.86,104.4,98.33,0.88,1,0
elliott-kavanagh,2015,ND,MID,22.0,12,4,44.8,0.0,93.67,80.49,49.49,93.67,83.07,0.76,1,0
hayden-crozier,2011,ND,SD,18.0,0,0,77.37,218.0,101.24,87.96,64.48,101.24,101.24,1.0,1,0
hayden-crozier,2012,ND,SD,19.0,3,1,77.37,248.5,99.19,85.84,65.3,99.19,99.19,1.0,1,0
hayden-crozier,2013,ND,SD,20.0,12,2,77.37,279.1,98.78,85.75,68.29,98.78,98.78,1.0,1,0
hayden-crozier,2014,ND,SD,21.0,23,3,77.37,316.8,99.06,84.62,67.47,99.06,95.27,0.88,1,0
hayden-crozier,2015,ND,SD,22.0,34,4,77.37,361.2,83.85,74.02,56.86,83.85,77.37,0.76,1,0
hayden-crozier,2016,ND,SD,23.0,50,5,77.37,350.1,89.95,81.5,69.01,89.95,83.04,0.67,1,0
hayden-crozier,2017,ND,SD,24.0,69,6,77.37,398.1,84.8,77.92,66.29,84.8,77.03,0.58,1,0
hayden-crozier,2018,ND,SD,25.0,86,7,77.37,138.3,93.34,85.17,77.87,93.34,85.92,0.52,1,0
hayden-crozier,2019,ND,SD,26.0,108,8,74.27,101.7,94.17,85.37,77.79,94.17,85.33,0.46,1,0
