key,name,age,pos,b4,b5,inversion
rhett-bazzo,"Rhett Bazzo",23,KPD,76.028937,81.818401,0
jayden-nguyen,"Jayden Nguyen",20,SD,86.728631,99.956778,0
jesse-motlop,"Jesse Motlop",23,SF,64.205643,73.259018,0
tom-atkins,"Tom Atkins",31,MID,88.824729,98.059015,0
lucas-camporeale,"Lucas Camporeale",20,MID,89.352261,103.581213,0
patrick-said,"Patrick Said",20,SF,76.180081,88.411754,0
jaxon-artemis,"Jaxon Artemis",20,SD,92.112771,103.686574,0
campbell-lake,"Campbell Lake",22,SF,73.269130,81.869939,0
archer-day-wicks,"Archer Day-Wicks",20,SF,78.799008,87.403116,0
zac-taylor,"Zac Taylor",23,SF,73.813621,78.897696,0
balyn-o-brien,"Balyn O'Brien",19,SD,89.485490,105.452163,0
jaren-carr,"Jaren Carr",22,SF,64.424617,77.320510,0
cody-anderson,"Cody Anderson",20,SF,75.484644,86.723060,0
noah-balta,"Noah Balta",27,KPF,72.331104,77.938870,0
paddy-cross,"Paddy Cross",23,SF,61.288611,73.443642,0
chris-scerri,"Chris Scerri",20,SF,80.059388,90.051647,0
mykelti-lefau,"Mykelti Lefau",28,KPF,66.295151,71.484296,0
nick-larkey,"Nick Larkey",28,KPF,74.919125,80.541947,0
ewan-mackinlay,"Ewan Mackinlay",23,SF,70.764599,78.690849,0
tylar-young,"Tylar Young",28,KPD,74.605952,77.949365,0
ben-jepson,"Ben Jepson",25,MID,68.195429,78.118938,0
isaac-keeler,"Isaac Keeler",22,KPF,65.750647,82.999478,0
jeremy-howe,"Jeremy Howe",36,SD,82.908311,92.520804,0
will-lewis,"Will Lewis",27,KPF,64.715724,73.142792,0
xavier-bamert,"Xavier Bamert",19,SF,84.623040,89.157478,0
campbell-gray,"Campbell Gray",23,KPD,69.975601,79.977837,0
mitch-zadow,"Mitch Zadow",22,SF,65.439761,77.139065,0
harvey-johnston,"Harvey Johnston",21,SD,81.237813,93.897553,0
riley-hamilton,"Riley Hamilton",20,SF,73.929454,86.788816,0
thomas-burton,"Thomas Burton",19,SF,80.984195,90.630616,0
jack-hutchinson,"Jack Hutchinson",25,MID,73.013020,81.310288,0
liam-puncher,"Liam Puncher",23,KPD,71.669178,79.471706,0
oliver-wines,"Oliver Wines",32,MID,86.304746,98.150720,0
thomas-anastasopoulos,"Tom Anastasopoulos",21,SF,75.174658,91.792832,0
rob-monahan,"Rob Monahan",22,SD,80.186029,92.120699,0
nathan-wardius,"Nathan Wardius",22,SF,71.637393,81.646982,0
liam-baker,"Liam Baker",28,SD,88.170453,92.323948,0
stephen-coniglio,"Stephen Coniglio",33,MID,75.291810,88.476368,0
will-hayward,"Will Hayward",28,SF,73.591552,77.654450,0
henry-hustwaite,"Henry Hustwaite",22,MID,81.158195,93.733117,0
judson-clarke,"Judson Clarke",23,SF,58.424471,72.061418,0
will-hayes-b,"Will Hayes",20,SF,71.549718,83.289910,0
corey-warner,"Corey Warner",23,SF,62.243703,70.236132,0
jasper-alger,"Jasper Alger",20,SF,71.623834,84.989571,0
george-stevens,"George Stevens",21,MID,86.059135,103.011160,0
lachlan-gulbin,"Lachlan Gulbin",20,SF,72.877506,86.520332,0
james-trezise,"James Trezise",24,SD,79.456922,85.597037,0
mani-liddy,"Mani Liddy",24,MID,73.200066,80.828166,0
steely-green,"Steely Green",22,SF,63.842577,75.036815,0
tom-edwards,"Tom Edwards",26,KPF,66.121609,71.066714,0
oliver-hayes-brown,"Oliver Hayes-Brown",26,RUCK,85.483411,90.679271,0
toby-bedford,"Toby Bedford",26,SF,74.752138,77.139930,0
elijah-hollands,"Elijah Hollands",24,SF,81.260007,87.107879,0
zac-banch,"Zac Banch",23,SF,62.353271,72.967268,0
lachie-sullivan,"Lachie Sullivan",29,SF,55.527925,63.612173,0
oscar-allen,"Oscar Allen",27,KPF,67.381232,71.580022,0
tom-doedee,"Tom Doedee",29,SD,68.881197,81.690903,0
josaia-delana,"Josaia Delana",20,SF,72.687582,86.520332,0
nikolas-cox,"Nikolas Cox",24,KPF,67.727761,71.816748,0
tom-cochrane,"Tom Cochrane",20,SF,71.489644,87.896455,0
malakai-champion,"Malakai Champion",20,SF,73.396545,84.105531,0
deven-robertson,"Deven Robertson",25,MID,83.151253,93.997285,0
luke-kennedy,"Luke Kennedy",20,MID,81.885905,99.286886,0
flynn-young,"Flynn Young",24,SF,60.500322,68.875638,0
arthur-jones,"Arthur Jones",23,SF,67.495296,76.568130,0
cooper-harvey,"Cooper Harvey",22,SF,79.349380,88.750017,0
