key,player,pos,base,fix1,absence,both
cody-weightman,Cody Weightman,GEN_FWD,282,383,281,307
chad-warner,Chad Warner,MID,2742,2767,2742,2767
harry-sharp,Harry Sharp,GEN_FWD,217,193,217,193
jye-caldwell,Jye Caldwell,MID,1442,1466,1442,1466
liam-baker,Liam Baker,GEN_DEF,624,648,624,648
hayden-young,Hayden Young,MID,2612,2635,2612,2635
harvey-harrison,Harvey Harrison,GEN_FWD,96,96,73,74
ben-ainsworth,Ben Ainsworth,GEN_FWD,304,282,304,282
dylan-stephens,Dylan Stephens,MID,367,346,367,346
jack-lukosius,Jack Lukosius,KEY_FWD,1437,1417,1437,1417
toby-nankervis,Toby Nankervis,RUC,1982,1962,1982,1962
oliver-hollands,Oliver Hollands,GEN_DEF,1494,1475,1494,1475
lachlan-ash,Lachlan Ash,GEN_DEF,5043,5024,5043,5024
jaxon-prior,Jaxon Prior,GEN_DEF,293,312,293,312
harry-morrison,Harry Morrison,MID,29,48,29,48
judson-clarke,Judson Clarke,GEN_FWD,90,108,90,108
shannon-neale,Shannon Neale,KEY_FWD,2343,2325,2343,2325
josh-treacy,Josh Treacy,KEY_FWD,6224,6206,6224,6206
jake-waterman,Jake Waterman,KEY_FWD,1404,1422,1404,1422
riley-hardeman,Riley Hardeman,GEN_DEF,386,403,386,403
mykelti-lefau,Mykelti Lefau,KEY_FWD,58,75,58,75
darcy-jones,Darcy Jones,GEN_FWD,1517,1534,1517,1534
will-setterfield,Will Setterfield,MID,1511,1494,1511,1494
sean-darcy,Sean Darcy,RUC,936,953,936,953
matthew-flynn,Matthew Flynn,RUC,693,710,693,710
harvey-langford,Harvey Langford,MID,2525,2509,2525,2509
riley-bice,Riley Bice,GEN_DEF,422,406,422,406
tom-brown,Tom Brown,GEN_DEF,492,476,492,476
luke-cleary,Luke Cleary,GEN_DEF,90,106,90,106
beau-mccreery,Beau McCreery,GEN_FWD,207,191,207,191
luke-jackson,Luke Jackson,RUC,7460,7444,7460,7444
connor-budarick,Connor Budarick,GEN_DEF,154,138,154,138
oscar-allen,Oscar Allen,KEY_FWD,179,195,179,195
sam-lalor,Sam Lalor,MID,3483,3468,3483,3468
jy-simpkin,Jy Simpkin,MID,601,616,601,616
jobe-shanahan,Jobe Shanahan,KEY_FWD,1606,1592,1606,1592
massimo-d-ambrosio,Massimo D'Ambrosio,MID,1744,1730,1744,1730
jeremy-sharp,Jeremy Sharp,MID,109,134,100,123
sam-walsh,Sam Walsh,MID,2739,2753,2739,2753
james-tunstill,James Tunstill,MID,95,108,95,108
maurice-rioli-1,Maurice Rioli,GEN_FWD,82,69,82,69
kyle-langford,Kyle Langford,KEY_FWD,642,655,642,655
rory-laird,Rory Laird,GEN_DEF,916,929,916,929
nate-caddy,Nate Caddy,KEY_FWD,1727,1715,1727,1715
edward-allan,Edward Allan,MID,726,714,726,714
malcolm-rosas,Malcolm Rosas,GEN_FWD,86,74,86,74
murphy-reid,Murphy Reid,GEN_FWD,3794,3805,3794,3805
caleb-windsor,Caleb Windsor,MID,1678,1667,1678,1667
luke-nankervis,Luke Nankervis,GEN_DEF,342,331,342,331
andy-moniz-wakefield,Andy Moniz-Wakefield,GEN_DEF,61,62,48,50
lance-collard,Lance Collard,GEN_FWD,267,277,267,277
finn-callaghan,Finn Callaghan,MID,5546,5556,5546,5556
james-rowbottom,James Rowbottom,MID,466,476,466,476
darcy-fogarty,Darcy Fogarty,KEY_FWD,382,392,382,392
james-worpel,James Worpel,MID,515,525,515,525
gryan-miers,Gryan Miers,GEN_FWD,1492,1502,1492,1502
patrick-lipinski,Patrick Lipinski,GEN_FWD,517,527,517,527
sam-draper,Sam Draper,RUC,619,629,619,629
christian-petracca,Christian Petracca,MID,2672,2662,2672,2662
finn-o-sullivan,Finn O'Sullivan,MID,3527,3536,3527,3536
archer-reid,Archer Reid,KEY_FWD,1088,1097,1088,1097
liam-o-connell,Liam O'Connell,GEN_DEF,96,87,96,87
lachlan-bramble,Lachlan Bramble,GEN_FWD,93,102,93,102
steely-green,Steely Green,GEN_FWD,273,264,273,264
jordon-sweet,Jordon Sweet,RUC,2052,2043,2052,2043
callum-brown-ire,Callum M. Brown,GEN_FWD,16,25,16,25
john-noble,John Noble,GEN_DEF,2404,2395,2404,2395
andrew-brayshaw,Andrew Brayshaw,MID,2770,2779,2770,2779
shai-bolton,Shai Bolton,GEN_FWD,2201,2192,2201,2192
eric-hipwood,Eric Hipwood,KEY_FWD,100,91,100,91
touk-miller,Touk Miller,MID,1417,1426,1417,1426
sam-darcy,Sam Darcy,KEY_FWD,3865,3873,3865,3873
callum-wilkie,Callum Wilkie,KEY_DEF,3150,3142,3150,3142
clayton-oliver,Clayton Oliver,MID,2440,2432,2440,2432
george-hewett,George Hewett,MID,1401,1409,1401,1409
joe-berry,Joe Berry,GEN_FWD,1321,1328,1321,1328
harley-reid,Harley Reid,MID,3594,3587,3594,3587
max-hall,Max Hall,GEN_FWD,1855,1848,1855,1848
ned-reeves,Ned Reeves,RUC,373,366,373,366
tim-taranto,Tim Taranto,MID,2504,2497,2504,2497
sam-powell-pepper,Sam Powell-Pepper,GEN_FWD,311,304,311,304
elliot-himmelberg,Elliott Himmelberg,KEY_FWD,121,114,121,114
wayne-milera,Wayne Milera,GEN_DEF,1665,1658,1665,1658
thomas-liberatore,Thomas Liberatore,MID,1843,1850,1843,1850
jack-whitlock,Jack Whitlock,KEY_FWD,1256,1262,1256,1262
nick-watson,Nick Watson,GEN_FWD,3581,3575,3581,3575
darcy-wilson,Darcy Wilson,GEN_FWD,2389,2395,2389,2395
will-ashcroft,Will Ashcroft,MID,4940,4946,4940,4946
jhye-clark,Jhye Clark,MID,680,674,680,674
jacob-konstanty,Jacob Konstanty,GEN_FWD,360,366,360,366
josh-gibcus,Josh Gibcus,KEY_DEF,280,274,280,274
jesse-motlop,Jesse Motlop,GEN_FWD,155,161,155,161
zac-taylor,Zac Taylor,GEN_FWD,357,351,357,351
brandon-walker,Brandon Walker,GEN_DEF,91,97,91,97
jordan-clark,Jordan Clark,GEN_DEF,3136,3142,3136,3142
jack-buckley,Jack Buckley,KEY_DEF,726,732,726,732
lewis-young,Lewis Young,KEY_DEF,175,181,175,181
callum-mills,Callum Mills,GEN_DEF,1785,1791,1785,1791
blake-acres,Blake Acres,MID,96,90,96,90
calsher-dear,Calsher Dear,KEY_FWD,1092,1097,1092,1097
toby-mcmullin,Toby McMullin,GEN_FWD,209,214,209,214
rhett-bazzo,Rhett Bazzo,KEY_DEF,567,562,567,562
jai-newcombe,Jai Newcombe,MID,4242,4237,4242,4237
james-peatling,James Peatling,MID,1161,1156,1161,1156
noah-anderson,Noah Anderson,MID,4525,4530,4525,4530
max-king-stk,Max King,KEY_FWD,361,366,361,366
james-sicily,James Sicily,GEN_DEF,1948,1943,1948,1943
daniel-curtin,Daniel Curtin,MID,2215,2219,2215,2219
cameron-mackenzie,Cameron Mackenzie,MID,1595,1599,1595,1599
robert-hansen,Robert Hansen,GEN_FWD,180,184,180,184
jack-buller,Jack Buller,KEY_FWD,36,36,40,40
mitchell-knevitt,Mitchell Knevitt,MID,191,195,191,195
brady-hough,Brady Hough,GEN_DEF,375,371,375,371
